x,y
15.75,124
15.5,126
15.25,123
15,126
14.75,123
14.5,126
14.25,121
14,124
13.75,128
13.5,127
13.25,124
13,127
12.75,125
12.5,128
12.25,128
12,125
11.75,126
11.5,124
11.25,122
11,124
10.75,124
10.5,124
10.25,122
10,125
9.75,125
9.5,125
9.25,126
9,120
8.75,122
8.5,121
8.25,118
8,123
7.75,119
7.5,121
7.25,125
7,120
6.75,141
6.5,127
6.25,124
6,121
5.75,123
5.5,128
5.25,122
5,123
4.75,123
4.5,124
4.25,122
4,121
3.75,124
3.5,181
3.25,170
3,129
2.75,123
2.5,124
2.25,124
2,141
1.75,127
1.5,108
1.25,83
1,79
0.75,67
0.5,55
0.25,59
0,52
